credit_model,instrument,initial_price,fair_price,fair_to_par,mean_ann_return,median_ann_return,prob_negative_return,risk_mean,risk_std,risk_skew,risk_sharpe,risk_sortino,risk_omega,risk_var_95,risk_var_99,risk_es_95,risk_es_99,risk_max_drawdown,risk_calmar,risk_mean_total_return,risk_prob_capital_loss,risk_pv_floored_paths,fair_price_lo,fair_price_hi,fair_price_ci_width,insurance,premium_weight,scenario,n_paths
gaussian_copula,model_a,450000.0,498263.51568229886,1.1072522570717753,0.009499856437954965,0.009584582020990773,0.22946,0.009499856437954965,0.012900745746362878,-0.030150362678828188,-2.1556212812506175,-0.9074125838273246,6.44971966145427,0.011757930002646029,0.021125177984374882,0.017400115387046167,0.025546833815933288,0.0,,0.10725225707177517,0.22946,0.0,497716.1064660771,498801.7746865154,1085.668220438296,none,,paris_intermediate,50000
gaussian_copula,model_b,450000.0,408698.5200894122,0.9082189335320272,-0.01134989458663904,-0.009570472862195811,0.70114,-0.01134989458663904,0.020063894809379486,-0.6254210612640191,-2.4251957838569855,-0.9244986890671124,0.21337502482996404,0.04722540473438719,0.06824537469293733,0.060241799641549236,0.08004618864897976,0.0,,-0.09178106646797281,0.70114,0.0,407988.0686846866,409426.3357317983,1438.2670471117017,none,,paris_intermediate,50000
gaussian_copula,equity,7875000.0,8111480.3991372315,1.0300292570332992,-0.01150054266303662,-0.002814752909306939,0.52222,-0.01150054266303662,0.07346257955492398,-5.688813200806343,-0.6644133853122127,-0.5586582257293488,0.5923145086476735,0.1097777705292815,0.19189481697967348,0.19639070497367794,0.4308870778041016,0.0,,0.0300292570332992,0.52222,132.0,8076800.3387891315,8145554.43684361,68754.09805447888,none,,paris_intermediate,50000
gaussian_copula,mezzanine,11025000.0,8670288.417204382,0.7864207181137761,-0.028236831826483563,-0.015166725408239046,0.98692,-0.028236831826483563,0.036788599456153655,-3.900423201073909,-1.7816881128465418,-0.8720372568387731,0.0009022240355186661,0.09503413420247665,0.17424264362642305,0.1493968010666878,0.2569962785002681,0.0,,-0.21357928188622383,0.98692,0.0,8649950.876127409,8688819.029376842,38868.153249433264,none,,paris_intermediate,50000
gaussian_copula,senior,12600000.0,11827127.589917244,0.9386609198347019,-0.006328184533204186,-0.005837210164795992,1.0,-0.006328184533204186,0.0020528000109528793,-10.132324274560187,-21.25738640549141,-0.9988953581047151,0.0,0.008920550872807624,0.014726369810713796,0.013025951377573057,0.021050190377607598,0.0,,-0.061339080165298085,1.0,0.0,11825186.48559373,11828998.683972305,3812.198378574103,none,,paris_intermediate,50000
student_t_copula,model_a,450000.0,499224.8749140123,1.1093886109200275,0.009680192067458699,0.009763278746972803,0.22926,0.009680192067458699,0.013026394744497502,-0.026337523799902673,-2.1209848916201604,-0.9048283856669371,6.538072863183209,0.011788762090171889,0.020900414830511544,0.017319841767975845,0.025308031355996605,0.0,,0.10938861092002744,0.22926,0.0,498661.48139855155,499764.2419532271,1102.7605546755367,none,,paris_intermediate,50000
student_t_copula,model_b,450000.0,408613.2672993477,0.9080294828874392,-0.011910516674597652,-0.008869639909672267,0.67198,-0.011910516674597652,0.02314708732438488,-0.8673187032177171,-2.126379638943354,-0.9049389108153367,0.23484254553205283,0.054476206365358305,0.08254561123013132,0.07127059545190753,0.09648995525833805,0.0,,-0.09197051711256081,0.67198,0.0,407826.8317700294,409370.6344390454,1543.802669016004,none,,paris_intermediate,50000
student_t_copula,equity,7875000.0,8273604.162353535,1.050616401568703,-0.010482562378354774,-0.0011636295175238565,0.50824,-0.010482562378354774,0.07552926513609455,-5.432933945928127,-0.6327552744629302,-0.5408709889561139,0.6354857185482319,0.1120588778544211,0.19623302340343265,0.19913483876219704,0.4384465019530506,0.0,,0.050616401568702896,0.50824,137.0,8237597.603986025,8309681.758512247,72084.1545262225,none,,paris_intermediate,50000
student_t_copula,mezzanine,11025000.0,8566111.912861248,0.7769716020735826,-0.03248577949176114,-0.013907730459815137,0.97272,-0.03248577949176114,0.050497237082153625,-3.940233348906922,-1.3821500350807443,-0.8101863328608274,0.0017293942497180138,0.11992150768076668,0.27598757149273123,0.20324757524907913,0.36000734913059435,0.0,,-0.22302839792641752,0.97272,0.0,8543709.425165076,8587626.14911128,43916.72394620441,none,,paris_intermediate,50000
student_t_copula,senior,12600000.0,11763212.63573955,0.9335883044237738,-0.006917093663822276,-0.005837210164795992,1.0,-0.006917093663822276,0.004042697037475129,-7.169852640375111,-10.939744375270294,-0.9958482064607683,0.0,0.01255439728144081,0.025189321390189156,0.02082996263572694,0.0370182227085438,0.0,,-0.06641169557622593,1.0,0.0,11759403.054638207,11766888.78495636,7485.730318153277,none,,paris_intermediate,50000
cox_intensity,model_a,450000.0,469790.29882731684,1.0439784418384819,0.0035847466526701664,0.003587725681017284,0.38968,0.0035847466526701664,0.01274918143990151,0.014366009440453145,-2.6452076173769257,-0.9354310712522111,2.024440822831199,0.017252764315825276,0.02579928906650489,0.022545127032116037,0.02991667189608321,0.0,,0.0439784418384818,0.38968,0.0,469271.7310863033,470288.7759574163,1017.044871112972,none,,paris_intermediate,50000
cox_intensity,model_b,450000.0,265224.0449793758,0.5893867666208351,-0.052579431006590654,-0.05256201732895299,0.99984,-0.052579431006590654,0.015138780000698062,-0.03196639538286793,-5.937625721178589,-0.9861127915744845,1.628355656731983e-05,0.07759957607884413,0.0884790021904766,0.08414412868627473,0.09354365476364315,0.0,,-0.41061323337916494,0.99984,0.0,264844.007380432,265579.0353859732,735.028005541244,none,,paris_intermediate,50000
cox_intensity,equity,7875000.0,4385506.742692512,0.5568897451038111,-0.07251162210374766,-0.06063595869147287,0.94258,-0.07251162210374766,0.08465296527994864,-6.544345457173655,-1.2973036473487662,-0.7920209722483135,0.01057677417461297,0.16488819820150735,0.2836951152641011,0.29866959447491404,0.6959391881652057,0.0,,-0.4431102548961888,0.94258,296.0,4366753.4080223115,4403946.1292273905,37192.721205079,none,,paris_intermediate,50000
