param,value,instrument,fair_to_par,mean_ann_return,risk_std
pd_annual,0.02,model_a,1.1244616829968237,0.010999437650595717,0.01343563382726491
pd_annual,0.02,model_b,0.9876229564005438,-0.002619051812332186,0.017646046207987532
pd_annual,0.02,equity,1.2297700578369688,0.0078349334418978,0.0712932430673355
pd_annual,0.02,mezzanine,0.8667724057153545,-0.015552931393810723,0.01908467300387107
pd_annual,0.02,senior,0.9420252498523192,-0.005957017177928937,0.0007499421332808579
pd_annual,0.03,model_a,1.1083035008246531,0.009511173218919674,0.013633302901367519
pd_annual,0.03,model_b,0.909518832742404,-0.011278727686258209,0.020419096752085936
pd_annual,0.03,equity,1.0341640608642113,-0.013209367639332278,0.0825411400546413
pd_annual,0.03,mezzanine,0.7871515260189892,-0.028060667767887328,0.03650361772614171
pd_annual,0.03,senior,0.9386869585492627,-0.006323295877533992,0.0019123338036361418
pd_annual,0.04,model_a,1.0941311089627404,0.008198455258671224,0.013732837487348498
pd_annual,0.04,model_b,0.8375586819043702,-0.01993345355762846,0.023122942235976548
pd_annual,0.04,equity,0.8901755510135384,-0.031511175473822726,0.09650498551428928
pd_annual,0.04,mezzanine,0.6919595947798778,-0.04584244668657158,0.05455915671065484
pd_annual,0.04,senior,0.9320723399450714,-0.007068419519209851,0.003720093106723183
pd_annual,0.05,model_a,1.0816615665979952,0.007035714214150479,0.013777214707845516
pd_annual,0.05,model_b,0.7721593255328815,-0.028404892710279874,0.025451838977439654
pd_annual,0.05,equity,0.7828697900746552,-0.045231773896214106,0.09873821903344873
pd_annual,0.05,mezzanine,0.5933184776712711,-0.06811540927451114,0.07287137019896203
pd_annual,0.05,senior,0.9219510270731823,-0.008230385914830031,0.00571512760601085
pd_annual,0.06,model_a,1.0707476230121562,0.006011191619087361,0.013790258202631741
pd_annual,0.06,model_b,0.7125185604907799,-0.03667440143174689,0.027328407241749127
pd_annual,0.06,equity,0.7016629186799401,-0.05713074977093038,0.10371766342837174
pd_annual,0.06,mezzanine,0.49687211772127,-0.09356444763113993,0.08809916051992567
pd_annual,0.06,senior,0.9079939740458758,-0.009880356527777398,0.008123845505962903
