scenario,credit_model,instrument,fair_to_par,mean_ann_return,risk_std,risk_var_95,risk_es_95,prob_negative_return
baseline,gaussian_copula,model_a,1.1072522570717753,0.009499856437954965,0.012900745746362878,0.011757930002646029,0.017400115387046167,0.22946
baseline,gaussian_copula,model_b,0.9082189335320272,-0.01134989458663904,0.020063894809379486,0.04722540473438719,0.060241799641549236,0.70114
baseline,gaussian_copula,equity,1.0300292570332992,-0.01150054266303662,0.07346257955492398,0.1097777705292815,0.19639070497367794,0.52222
baseline,gaussian_copula,mezzanine,0.7864207181137761,-0.028236831826483563,0.036788599456153655,0.09503413420247665,0.1493968010666878,0.98692
baseline,gaussian_copula,senior,0.9386609198347019,-0.006328184533204186,0.0020528000109528793,0.008920550872807624,0.013025951377573057,1.0
baseline,student_t_copula,model_a,1.1093886109200275,0.009680192067458699,0.013026394744497502,0.011788762090171889,0.017319841767975845,0.22926
baseline,student_t_copula,model_b,0.9080294828874392,-0.011910516674597652,0.02314708732438488,0.054476206365358305,0.07127059545190753,0.67198
baseline,student_t_copula,equity,1.050616401568703,-0.010482562378354774,0.07552926513609455,0.1120588778544211,0.19913483876219704,0.50824
baseline,student_t_copula,mezzanine,0.7769716020735826,-0.03248577949176114,0.050497237082153625,0.11992150768076668,0.20324757524907913,0.97272
baseline,student_t_copula,senior,0.9335883044237738,-0.006917093663822276,0.004042697037475129,0.01255439728144081,0.02082996263572694,1.0
baseline,cox_intensity,model_a,1.0439784418384819,0.0035847466526701664,0.01274918143990151,0.017252764315825276,0.022545127032116037,0.38968
baseline,cox_intensity,model_b,0.5893867666208351,-0.052579431006590654,0.015138780000698062,0.07759957607884413,0.08414412868627473,0.99984
baseline,cox_intensity,equity,0.5568897451038111,-0.07251162210374766,0.08465296527994864,0.16488819820150735,0.29866959447491404,0.94258
baseline,cox_intensity,mezzanine,0.2617422497914507,-0.1354290749762458,0.04772554707862606,0.23307208394395285,0.26876626444809887,1.0
baseline,cox_intensity,senior,0.8963863572946865,-0.01091882190883749,0.0029860339820016583,0.015712736726264446,0.018737565845508213,1.0
stress_gfc,gaussian_copula,model_a,0.5125544316889833,-0.06627095399470367,0.018351988054290364,0.0961505546239379,0.10402193301634402,0.99992
stress_gfc,gaussian_copula,model_b,0.3557550731773648,-0.10176874331427298,0.02719912771505919,0.1492445610725947,0.16403162281687492,1.0
stress_gfc,gaussian_copula,equity,0.0018064323423832179,-0.9278237429723458,0.08116143072113749,0.9369042655519807,0.9369042655519808,1.0
stress_gfc,gaussian_copula,mezzanine,0.12178853663348108,-0.2353038956162159,0.08598711503175047,0.3409525151674677,0.3598782877828894,1.0
stress_gfc,gaussian_copula,senior,0.7816936931751268,-0.02636480834386679,0.021916428695720302,0.07099092492999474,0.08670750886612395,1.0
stress_gfc,student_t_copula,model_a,0.5135949535114828,-0.06609490664441378,0.0184281528344918,0.09624135462470713,0.10378853566814544,0.99988
stress_gfc,student_t_copula,model_b,0.35570344876440796,-0.10188295464818012,0.027619198377313907,0.1505966916123198,0.16565286662426779,1.0
stress_gfc,student_t_copula,equity,0.0018763234628231902,-0.9278171195792488,0.08130426333202566,0.9369042655519807,0.9369042655519808,1.0
stress_gfc,student_t_copula,mezzanine,0.12531336124260847,-0.23349124541541533,0.0897098305126525,0.36509675523413293,0.40407387370553555,1.0
stress_gfc,student_t_copula,senior,0.7784367286594731,-0.026872261237697277,0.022477013924640944,0.07279690370757179,0.08886205896730962,1.0
stress_gfc,cox_intensity,model_a,0.49585735631001604,-0.06932841028405703,0.018111756214071375,0.09878934274638425,0.10625541369024818,0.99998
stress_gfc,cox_intensity,model_b,0.29693951889508435,-0.11592734462326623,0.01764040612789535,0.1443233554935996,0.151458876960406,1.0
stress_gfc,cox_intensity,equity,0.0009731099051699623,-0.9303065362830556,0.06808329621052682,0.9369042655519807,0.9369042655519806,1.0
stress_gfc,cox_intensity,mezzanine,0.044337941128721074,-0.28464444388285837,0.04457726003524993,0.3308221853035745,0.33916581484475433,1.0
stress_gfc,cox_intensity,senior,0.7029449050593488,-0.03599551111457037,0.017275214448962097,0.06614912465790687,0.0739656040627053,1.0
stress_covid,gaussian_copula,model_a,0.8929874367173873,-0.01262231696928765,0.017330715699482337,0.04082788754229419,0.04809942201483291,0.7688
stress_covid,gaussian_copula,model_b,0.6247597008819826,-0.049378354886080916,0.027419667238038962,0.09777426553738447,0.11306067095949729,0.97812
stress_covid,gaussian_copula,equity,0.3351575180509143,-0.3036169375765588,0.3573494527514982,0.9369042655519807,0.9369042655519808,0.94206
stress_covid,gaussian_copula,mezzanine,0.5070850273782596,-0.08888300626266206,0.08365575935404282,0.3016544340385781,0.33653994489759737,0.99936
stress_covid,gaussian_copula,senior,0.9087264044671581,-0.009767381103882923,0.0076171609260225715,0.021426040976739214,0.036887452938156685,1.0
stress_covid,student_t_copula,model_a,0.894389122425373,-0.012476360701478107,0.01738703933532329,0.04084325266118206,0.04787177008879563,0.76362
stress_covid,student_t_copula,model_b,0.6247004489709677,-0.049543398463050725,0.02807850091125373,0.09948072448187133,0.11515002742442784,0.9763
stress_covid,student_t_copula,equity,0.33676102375664274,-0.3032221859167258,0.3574147690383241,0.9369042655519807,0.9369042655519808,0.94208
stress_covid,student_t_copula,mezzanine,0.5107396169120361,-0.08831534761455383,0.08461124368760668,0.2827022970466357,0.3448790517586297,0.99884
stress_covid,student_t_copula,senior,0.9043783177814857,-0.010300301909049092,0.008490887853417272,0.025112812596740797,0.04018874837638228,1.0
stress_covid,cox_intensity,model_a,0.8642331171308456,-0.01583031138099674,0.017150339136693366,0.04371188345722778,0.050702690306375024,0.82132
stress_covid,cox_intensity,model_b,0.49403302589272374,-0.0696407201085346,0.017928662179746577,0.09875942844545581,0.1062206985381497,0.99994
stress_covid,cox_intensity,equity,0.23794519477057166,-0.3427553156921939,0.3573360956971086,0.9369042655519807,0.9369042655519807,0.98922
stress_covid,cox_intensity,mezzanine,0.23245492412117494,-0.15041263394248852,0.05848591722080472,0.28232018535566533,0.3016537270258415,1.0
stress_covid,cox_intensity,senior,0.882968759394174,-0.0124422399701205,0.004059553010604448,0.018360939684552123,0.025196023039910666,1.0
stress_rates2022,gaussian_copula,model_a,0.8259515686395144,-0.01995335284885211,0.014867955541422577,0.044364538043496715,0.05076842648295417,0.91044
stress_rates2022,gaussian_copula,model_b,0.6298482987344295,-0.04768372181028047,0.02348172309124394,0.08956133413319753,0.1037700197726394,0.99112
stress_rates2022,gaussian_copula,equity,0.2226789068938751,-0.42518930162699864,0.3928740557540942,0.9369042655519807,0.9369042655519808,0.97682
stress_rates2022,gaussian_copula,mezzanine,0.5866774552462033,-0.06669230334192879,0.0673634872694931,0.2074389525648328,0.2917511917267319,0.9999
stress_rates2022,gaussian_copula,senior,0.9221036566869737,-0.00818823235836646,0.005140698303860598,0.01533569283885126,0.025017771899812153,1.0
stress_rates2022,student_t_copula,model_a,0.8275932228627539,-0.019772881991513582,0.01497307566852738,0.044365037832449376,0.050615702872876187,0.9076
stress_rates2022,student_t_copula,model_b,0.6297935957443286,-0.048052192659501905,0.02524202027467315,0.09360355566289094,0.10998706879971205,0.9891
stress_rates2022,student_t_copula,equity,0.22986901683016106,-0.4186217413683377,0.39218053907495987,0.9369042655519807,0.9369042655519809,0.97356
stress_rates2022,student_t_copula,mezzanine,0.5877621877220524,-0.06868631183195612,0.07374182551066048,0.2266673983462597,0.3150371059515498,0.99968
stress_rates2022,student_t_copula,senior,0.9165239395851754,-0.008868043800161261,0.006743872549206085,0.0191743025028898,0.03192253150275161,1.0
stress_rates2022,cox_intensity,model_a,0.7867704528754639,-0.024687711977577773,0.01466070299843116,0.04859952188225598,0.05468488507682396,0.9534
stress_rates2022,cox_intensity,model_b,0.45280434712491197,-0.07741662547397904,0.01598468112183708,0.10357712647575718,0.11031562288514879,1.0
stress_rates2022,cox_intensity,equity,0.11524783460164369,-0.5140130258210854,0.38301417591141124,0.9369042655519807,0.9369042655519807,0.99956
stress_rates2022,cox_intensity,mezzanine,0.2103558883232134,-0.16223107160935474,0.06393957336076268,0.2948177589929641,0.30885631871326075,1.0
stress_rates2022,cox_intensity,senior,0.8759195689034409,-0.013253757743276192,0.0045980473471137,0.0215455037207685,0.028675464410443063,1.0
